accession,subtype,host,host_source,country,collection_date,isolation_source,seq_technology,st_confidence,seq_length,cluster_top,cluster_subtype,cluster_variant,st_status,human_report,st_note,dist_from_medoid,potential_novel_variant,novel_variant_reason
OR117712.1,ST24,Ovis aries,Unknown,Portugal,Unknown,feces,ONT,high,2840,49,89,188,tentative,False,Cattle (USA),-0.0,False,
OR117710.1,ST24,Ovis aries,Unknown,Portugal,Unknown,feces,ONT,high,2840,49,89,184,tentative,False,Cattle (USA),0.01656579150996811,False,
OR117709.1,ST24,Ovis aries,Unknown,Portugal,Unknown,feces,ONT,high,2840,49,89,188,tentative,False,Cattle (USA),0.0005651846537246389,False,
OR117684.1,ST24,Ovis aries,host_qualifier,Portugal,Unknown,feces,ONT,high,2840,49,89,188,tentative,False,Cattle (USA),-0.0,False,
OR117683.1,ST24,Ovis aries,host_qualifier,Portugal,Unknown,feces,ONT,high,2840,49,89,188,tentative,False,Cattle (USA),0.0028301920377296185,False,
OR117682.1,ST24,Capra hircus,Unknown,Portugal,Unknown,feces,ONT,high,2840,49,89,188,tentative,False,Cattle (USA),-0.0,False,
OR117680.1,ST24,Ovis aries,host_qualifier,Portugal,Unknown,feces,ONT,high,2840,49,89,187,tentative,False,Cattle (USA),0.015988424275911694,False,
OR117679.1,ST24,Capra hircus,Unknown,Portugal,Unknown,feces,ONT,high,2840,49,89,187,tentative,False,Cattle (USA),0.015988424275911694,False,
OR117675.1,ST24,Bos taurus,host_qualifier,USA,Unknown,feces,ONT,high,2840,49,89,184,tentative,False,Cattle (USA),0.014835021511105412,False,
OR117657.1,ST42,Bos taurus,host_qualifier,Portugal,Unknown,feces,ONT,low,2840,31,41,54,accepted,False,ST10 split; Santin et al. 2024,0.006251220126268505,False,
OR117655.1,ST42,Bos taurus,host_qualifier,Portugal,Unknown,feces,ONT,low,2840,31,41,54,accepted,False,ST10 split; Santin et al. 2024,0.0056807694427491165,False,
OR117654.1,ST42,Bos taurus,host_qualifier,Portugal,Unknown,feces,ONT,low,2840,31,41,54,accepted,False,ST10 split; Santin et al. 2024,0.0022658627506321584,False,
OR117647.1,ST10,Ovis aries,host_qualifier,Portugal,Unknown,feces,ONT,high,2840,31,44,61,accepted,True,Artiodactyls; rare human reports; now split ST42-44,0.0016081485657444535,False,
OR117646.1,ST10,Ovis aries,host_qualifier,Portugal,Unknown,feces,ONT,high,2840,31,44,61,accepted,True,Artiodactyls; rare human reports; now split ST42-44,0.0016081485657444535,False,
OR117645.1,ST10,Ovis aries,host_qualifier,Portugal,Unknown,feces,ONT,high,2840,31,44,61,accepted,True,Artiodactyls; rare human reports; now split ST42-44,0.0016081485657444535,False,
OR117644.1,ST10,Ovis aries,host_qualifier,Portugal,Unknown,feces,ONT,high,2840,31,44,61,accepted,True,Artiodactyls; rare human reports; now split ST42-44,0.0008036432593198368,False,
OR117643.1,ST10,Ovis aries,Unknown,Portugal,Unknown,feces,ONT,Unknown,2840,31,44,61,accepted,True,Artiodactyls; rare human reports; now split ST42-44,0.001609442677707578,False,
OR117642.1,ST10,Roe deer,host_qualifier,Portugal,Unknown,feces,ONT,high,2840,31,44,61,accepted,True,Artiodactyls; rare human reports; now split ST42-44,0.0016081485657444535,False,
OR117641.1,ST10,Capra hircus,Unknown,Portugal,Unknown,feces,ONT,high,2840,31,44,61,accepted,True,Artiodactyls; rare human reports; now split ST42-44,0.0008036432593198368,False,
OR117639.1,ST10,Ovis aries,host_qualifier,Portugal,Unknown,feces,ONT,high,2840,31,44,60,accepted,True,Artiodactyls; rare human reports; now split ST42-44,0.011330131846607513,False,
OR117637.1,ST10,Ovis aries,host_qualifier,Portugal,Unknown,feces,ONT,high,2840,31,44,60,accepted,True,Artiodactyls; rare human reports; now split ST42-44,0.011330131846607513,False,
OR117636.1,ST10,Ovis aries,host_qualifier,Portugal,Unknown,feces,ONT,high,2840,31,44,60,accepted,True,Artiodactyls; rare human reports; now split ST42-44,0.011330131846607513,False,
OR117634.1,ST10,Capra hircus,Unknown,Portugal,Unknown,feces,ONT,high,2840,31,44,60,accepted,True,Artiodactyls; rare human reports; now split ST42-44,0.011330131846607513,False,
OR117630.1,ST42,Bos taurus,Unknown,USA,Unknown,feces,ONT,Unknown,2840,31,41,54,accepted,False,ST10 split; Santin et al. 2024,0.0017006810008354093,False,
OR117628.1,ST42,Bos taurus,host_qualifier,USA,Unknown,feces,ONT,low,2840,31,41,54,accepted,False,ST10 split; Santin et al. 2024,-0.0,False,
OR117627.1,ST42,Bos taurus,Unknown,USA,Unknown,feces,ONT,Unknown,2840,31,41,54,accepted,False,ST10 split; Santin et al. 2024,0.0034013663740434467,False,
OR117623.1,ST10,Bos taurus,host_qualifier,USA,Unknown,feces,ONT,high,2840,31,44,60,accepted,True,Artiodactyls; rare human reports; now split ST42-44,0.011330131846607513,False,
OQ703608.1,ST17,Homo sapiens,host_qualifier,Colombia,Unknown,feces,ONT,low,2840,4,4,6,accepted,False,Rodents; cattle,0.10840701708958733,False,
OR053705.1,ST3,Homo sapiens,organism,Iran,01-Aug-2022,human stool,Sanger,low,2840,38,57,80,accepted,True,Most prevalent globally; IBS-D association,0.03131979077144451,False,
OR053704.1,ST1,Homo sapiens,organism,Iran,01-Aug-2022,human stool,Sanger,high,2840,59,108,241,accepted,True,Most prevalent globally; IBS association,0.0009868422476399764,False,
OR053703.1,ST1,Homo sapiens,Unknown,Iran,01-Aug-2022,human stool,Sanger,medium,2840,59,108,241,accepted,True,Most prevalent globally; IBS association,0.0009937066707082088,False,
OQ693813.1,ST11,iguana,host_qualifier,Thailand,2022,Unknown,Sanger,low,2840,41,64,113,accepted,False,Non-human primates,-0.0,False,
OQ693812.1,ST11,iguana,host_qualifier,Thailand,2022,Unknown,Sanger,low,2840,41,64,113,accepted,False,Non-human primates,-0.0,False,
OQ693811.1,ST11,iguana,host_qualifier,Thailand,2022,Unknown,Sanger,low,2840,41,64,113,accepted,False,Non-human primates,-0.0,False,
OQ693810.1,ST11,iguana,host_qualifier,Thailand,2022,Unknown,Sanger,low,2840,41,64,113,accepted,False,Non-human primates,-0.0,False,
OQ693809.1,ST11,iguana,host_qualifier,Thailand,2022,Unknown,Sanger,low,2840,41,64,113,accepted,False,Non-human primates,-0.0,False,
OQ693808.1,ST11,iguana,host_qualifier,Thailand,2022,Unknown,Sanger,low,2840,41,64,113,accepted,False,Non-human primates,-0.0,False,
OQ693807.1,ST11,iguana,host_qualifier,Thailand,2022,Unknown,Sanger,low,2840,41,64,113,accepted,False,Non-human primates,-0.0,False,
OQ693806.1,ST11,iguana,host_qualifier,Thailand,2022,Unknown,Sanger,low,2840,41,64,113,accepted,False,Non-human primates,-0.0,False,
OQ693805.1,ST11,iguana,host_qualifier,Thailand,2022,Unknown,Sanger,low,2840,41,64,113,accepted,False,Non-human primates,-0.0,False,
OQ693804.1,ST11,iguana,host_qualifier,Thailand,2022,Unknown,Sanger,low,2840,41,64,113,accepted,False,Non-human primates,-0.0,False,
OQ693803.1,ST11,iguana,host_qualifier,Thailand,2022,Unknown,Sanger,low,2840,41,64,113,accepted,False,Non-human primates,-0.0,False,
OQ693802.1,ST11,iguana,host_qualifier,Thailand,2022,Unknown,Sanger,low,2840,41,64,113,accepted,False,Non-human primates,-0.0,False,
OQ693801.1,ST11,iguana,host_qualifier,Thailand,2022,Unknown,Sanger,low,2840,41,64,113,accepted,False,Non-human primates,-0.0,False,
OQ693799.1,ST11,iguana,host_qualifier,Thailand,2022,Unknown,Sanger,low,2840,41,64,113,accepted,False,Non-human primates,-0.0,False,
OQ693797.1,ST11,iguana,host_qualifier,Thailand,2022,Unknown,Sanger,low,2840,41,64,113,accepted,False,Non-human primates,-0.0,False,
OQ693795.1,ST11,iguana,host_qualifier,Thailand,2022,Unknown,Sanger,low,2840,41,64,113,accepted,False,Non-human primates,0.0019274022814374197,False,
OQ693794.1,ST11,iguana,host_qualifier,Thailand,2022,Unknown,Sanger,low,2840,41,64,113,accepted,False,Non-human primates,-0.0,False,
OQ693793.1,ST11,iguana,host_qualifier,Thailand,2022,Unknown,Sanger,low,2840,41,64,113,accepted,False,Non-human primates,-0.0,False,
OQ693792.1,ST11,iguana,host_qualifier,Thailand,2022,Unknown,Sanger,low,2840,41,64,113,accepted,False,Non-human primates,-0.0,False,
OQ693791.1,ST11,iguana,host_qualifier,Thailand,2022,Unknown,Sanger,low,2840,41,64,113,accepted,False,Non-human primates,-0.0,False,
OQ693789.1,ST11,iguana,host_qualifier,Thailand,2022,Unknown,Sanger,low,2840,41,64,113,accepted,False,Non-human primates,-0.0,False,
OQ693788.1,ST11,iguana,host_qualifier,Thailand,2022,Unknown,Sanger,low,2840,41,64,113,accepted,False,Non-human primates,-0.0,False,
OQ693787.1,ST11,iguana,host_qualifier,Thailand,2022,Unknown,Sanger,low,2840,41,64,113,accepted,False,Non-human primates,-0.0,False,
OQ693784.1,ST11,iguana,host_qualifier,Thailand,2022,Unknown,Sanger,low,2840,41,64,113,accepted,False,Non-human primates,-0.0,False,
OQ693783.1,ST11,iguana,host_qualifier,Thailand,2022,Unknown,Sanger,low,2840,41,64,113,accepted,False,Non-human primates,-0.0,False,
OQ693782.1,ST11,iguana,host_qualifier,Thailand,2022,Unknown,Sanger,low,2840,41,64,113,accepted,False,Non-human primates,0.0009696187517288951,False,
OQ693779.1,ST11,iguana,host_qualifier,Thailand,2022,Unknown,Sanger,low,2840,41,64,113,accepted,False,Non-human primates,-0.0,False,
OQ693777.1,ST11,iguana,host_qualifier,Thailand,2022,Unknown,Sanger,low,2840,41,64,113,accepted,False,Non-human primates,-0.0,False,
OQ693776.1,ST11,iguana,host_qualifier,Thailand,2022,Unknown,Sanger,low,2840,41,64,113,accepted,False,Non-human primates,-0.0,False,
OQ693774.1,ST11,iguana,host_qualifier,Thailand,2022,Unknown,Sanger,low,2840,41,64,113,accepted,False,Non-human primates,-0.0,False,
OQ693773.1,ST11,iguana,host_qualifier,Thailand,2022,Unknown,Sanger,low,2840,41,64,113,accepted,False,Non-human primates,-0.0,False,
OQ693772.1,ST11,iguana,host_qualifier,Thailand,2022,Unknown,Sanger,low,2840,41,64,113,accepted,False,Non-human primates,-0.0,False,
OQ693771.1,ST11,iguana,host_qualifier,Thailand,2022,Unknown,Sanger,low,2840,41,64,113,accepted,False,Non-human primates,-0.0,False,
OQ693770.1,ST11,iguana,host_qualifier,Thailand,2022,Unknown,Sanger,low,2840,41,64,113,accepted,False,Non-human primates,-0.0,False,
OQ693769.1,ST11,iguana,host_qualifier,Thailand,2022,Unknown,Sanger,low,2840,40,63,112,accepted,False,Non-human primates,0.05610090981202381,True,d_medoid=0.0561 > 0.0200; minority cluster (63)
OQ693766.1,ST11,iguana,host_qualifier,Thailand,2022,Unknown,Sanger,low,2840,41,64,113,accepted,False,Non-human primates,-0.0,False,
OQ693765.1,ST11,iguana,host_qualifier,Thailand,2022,Unknown,Sanger,low,2840,41,64,113,accepted,False,Non-human primates,-0.0,False,
OQ693764.1,ST11,iguana,host_qualifier,Thailand,2022,Unknown,Sanger,low,2840,41,64,113,accepted,False,Non-human primates,-0.0,False,
OQ693762.1,ST11,iguana,host_qualifier,Thailand,2022,Unknown,Sanger,low,2840,41,64,113,accepted,False,Non-human primates,0.0009621553596668643,False,
OQ693761.1,ST11,iguana,host_qualifier,Thailand,2022,Unknown,Sanger,low,2840,40,63,112,accepted,False,Non-human primates,0.05522735038167925,True,d_medoid=0.0552 > 0.0200; minority cluster (63)
OQ693760.1,ST11,iguana,host_qualifier,Thailand,2022,Unknown,Sanger,low,2840,40,63,112,accepted,False,Non-human primates,0.05567479361288073,True,d_medoid=0.0557 > 0.0200; minority cluster (63)
OQ693758.1,ST11,iguana,host_qualifier,Thailand,2022,Unknown,Sanger,low,2840,41,64,113,accepted,False,Non-human primates,-0.0,False,
OQ693757.1,ST11,iguana,host_qualifier,Thailand,2022,Unknown,Sanger,low,2840,41,64,113,accepted,False,Non-human primates,-0.0,False,
OQ693756.1,ST11,iguana,host_qualifier,Thailand,2022,Unknown,Sanger,low,2840,41,64,113,accepted,False,Non-human primates,-0.0,False,
OQ693755.1,ST11,iguana,host_qualifier,Thailand,2022,Unknown,Sanger,low,2840,41,64,113,accepted,False,Non-human primates,0.0009630819942967109,False,
OQ693754.1,ST11,iguana,host_qualifier,Thailand,2022,Unknown,Sanger,low,2840,41,64,113,accepted,False,Non-human primates,0.0028901769869924747,False,
OQ693753.1,ST11,iguana,host_qualifier,Thailand,2022,Unknown,Sanger,low,2840,41,64,113,accepted,False,Non-human primates,-0.0,False,
OQ693751.1,ST11,iguana,host_qualifier,Thailand,2022,Unknown,Sanger,low,2840,41,64,113,accepted,False,Non-human primates,-0.0,False,
OQ693749.1,ST11,iguana,host_qualifier,Thailand,2022,Unknown,Sanger,low,2840,41,64,113,accepted,False,Non-human primates,-0.0,False,
OQ693748.1,ST11,iguana,host_qualifier,Thailand,2022,Unknown,Sanger,low,2840,41,64,113,accepted,False,Non-human primates,-0.0,False,
OQ693747.1,ST11,iguana,host_qualifier,Thailand,2022,Unknown,Sanger,low,2840,41,64,113,accepted,False,Non-human primates,-0.0,False,
OQ693746.1,ST11,iguana,host_qualifier,Thailand,2022,Unknown,Sanger,low,2840,41,64,113,accepted,False,Non-human primates,-0.0,False,
OQ693745.1,ST11,iguana,host_qualifier,Thailand,2022,Unknown,Sanger,low,2840,41,64,113,accepted,False,Non-human primates,-0.0,False,
OQ693744.1,ST11,iguana,host_qualifier,Thailand,2022,Unknown,Sanger,low,2840,41,64,113,accepted,False,Non-human primates,-0.0,False,
OQ693743.1,ST11,iguana,host_qualifier,Thailand,2022,Unknown,Sanger,low,2840,41,64,113,accepted,False,Non-human primates,-0.0,False,
OQ693742.1,ST11,iguana,host_qualifier,Thailand,2022,Unknown,Sanger,low,2840,41,64,113,accepted,False,Non-human primates,-0.0,False,
OQ693741.1,ST11,iguana,host_qualifier,Thailand,2022,Unknown,Sanger,low,2840,41,64,113,accepted,False,Non-human primates,-0.0,False,
OQ693739.1,ST11,iguana,host_qualifier,Thailand,2022,Unknown,Sanger,low,2840,40,63,112,accepted,False,Non-human primates,0.05610090981202381,True,d_medoid=0.0561 > 0.0200; minority cluster (63)
OQ693738.1,ST11,iguana,host_qualifier,Thailand,2022,Unknown,Sanger,low,2840,41,64,113,accepted,False,Non-human primates,-0.0,False,
OQ693737.1,ST11,iguana,host_qualifier,Thailand,2022,Unknown,Sanger,low,2840,41,64,113,accepted,False,Non-human primates,-0.0,False,
OQ693736.1,ST11,iguana,host_qualifier,Thailand,2022,Unknown,Sanger,low,2840,40,63,112,accepted,False,Non-human primates,0.0572484886450531,True,d_medoid=0.0572 > 0.0200; minority cluster (63)
OQ693735.1,ST11,iguana,host_qualifier,Thailand,2022,Unknown,Sanger,low,2840,41,64,113,accepted,False,Non-human primates,-0.0,False,
OQ693734.1,ST11,iguana,host_qualifier,Thailand,2022,Unknown,Sanger,low,2840,41,64,113,accepted,False,Non-human primates,-0.0,False,
OQ693733.1,ST11,iguana,host_qualifier,Thailand,2022,Unknown,Sanger,low,2840,41,64,113,accepted,False,Non-human primates,-0.0,False,
OQ693731.1,ST11,iguana,host_qualifier,Thailand,2022,Unknown,Sanger,low,2840,41,64,113,accepted,False,Non-human primates,0.0038560496253139892,False,
OQ693730.1,ST11,iguana,host_qualifier,Thailand,2022,Unknown,Sanger,low,2840,41,64,113,accepted,False,Non-human primates,0.0009621553596668643,False,
OQ693729.1,ST11,iguana,host_qualifier,Thailand,2022,Unknown,Sanger,low,2840,41,64,113,accepted,False,Non-human primates,0.0009621553596668643,False,
OQ693728.1,ST11,iguana,host_qualifier,Thailand,2022,Unknown,Sanger,low,2840,41,64,113,accepted,False,Non-human primates,-0.0,False,
OQ693727.1,ST11,iguana,host_qualifier,Thailand,2022,Unknown,Sanger,low,2840,41,64,113,accepted,False,Non-human primates,0.002892964049818448,False,
OQ693726.1,ST11,iguana,host_qualifier,Thailand,2022,Unknown,Sanger,low,2840,41,64,113,accepted,False,Non-human primates,-0.0,False,
OQ693725.1,ST11,iguana,host_qualifier,Thailand,2022,Unknown,Sanger,low,2840,41,64,113,accepted,False,Non-human primates,-0.0,False,
OQ594924.1,ST1,Homo sapiens,Unknown,Iraq: salahaddin,Dec-2022,stool,Sanger,low,2840,59,104,213,accepted,True,Most prevalent globally; IBS association,0.02719331101696819,False,
OQ589912.1,ST3,Homo sapiens,Unknown,Iraq: salahaddin,Dec-2022,stool,Sanger,medium,2840,38,59,90,accepted,True,Most prevalent globally; IBS-D association,-0.0,False,
OQ586443.1,ST2,Homo sapiens,Unknown,Iraq: salahaddin,Dec-2022,Unknown,Sanger,medium,2840,52,93,193,accepted,True,Common in humans; urticaria association,0.0024311204431282166,False,
OQ384914.1,ST1,Unknown,unknown,Unknown,Unknown,Unknown,Sanger,medium,2840,59,108,244,accepted,True,Most prevalent globally; IBS association,0.006949090084342593,False,
OQ192094.1,ST8,Homo sapiens,Unknown,Argentina,Unknown,fecal samples,Sanger,low,2840,34,51,71,accepted,True,Non-human primates; rare in humans,0.0021865904700930144,False,
OQ192092.1,ST1,Homo sapiens,Unknown,Argentina,Unknown,fecal samples,Sanger,low,2840,59,108,245,accepted,True,Most prevalent globally; IBS association,0.01271216873532999,False,
MZ783086.1,ST2,Unknown,unknown,Argentina,2019,Unknown,Sanger,medium,2840,52,93,194,accepted,True,Common in humans; urticaria association,-0.0,False,
MZ396570.1,ST3,Unknown,unknown,Unknown,Unknown,Unknown,Sanger,medium,2840,38,59,93,accepted,True,Most prevalent globally; IBS-D association,0.0076531276306813015,False,
MZ396568.1,ST1,Unknown,unknown,Unknown,Unknown,Unknown,Sanger,medium,2840,59,108,241,accepted,True,Most prevalent globally; IBS association,0.0029703009120726786,False,
MZ396567.1,ST1,Unknown,unknown,Unknown,Unknown,Unknown,Sanger,medium,2840,59,108,241,accepted,True,Most prevalent globally; IBS association,0.0019769368942424404,False,
MZ396562.1,ST1,Unknown,unknown,Unknown,Unknown,Unknown,Sanger,medium,2840,59,107,230,accepted,True,Most prevalent globally; IBS association,0.02915916842937642,False,
MT947108.1,ST1,Unknown,unknown,Unknown,Unknown,Unknown,Sanger,high,2840,59,108,240,accepted,True,Most prevalent globally; IBS association,0.007104247976521873,False,
MT330277.1,ST3,Homo sapiens,host_qualifier,Thailand,Unknown,stool,Sanger,medium,2840,38,59,93,accepted,True,Most prevalent globally; IBS-D association,0.00892488219735371,False,
MT330276.1,ST3,Homo sapiens,host_qualifier,Thailand,Unknown,stool,Sanger,medium,2840,38,59,93,accepted,True,Most prevalent globally; IBS-D association,0.010208579558239709,False,
MT330275.1,ST3,Homo sapiens,host_qualifier,Thailand,Unknown,stool,Sanger,medium,2840,38,59,93,accepted,True,Most prevalent globally; IBS-D association,0.010208579558239709,False,
MT330274.1,ST3,Homo sapiens,host_qualifier,Thailand,Unknown,stool,Sanger,medium,2840,38,59,93,accepted,True,Most prevalent globally; IBS-D association,0.010208579558239709,False,
MT330273.1,ST3,Homo sapiens,host_qualifier,Thailand,Unknown,stool,Sanger,medium,2840,38,59,93,accepted,True,Most prevalent globally; IBS-D association,0.01022162329170434,False,
MT330272.1,ST3,Homo sapiens,host_qualifier,Thailand,Unknown,stool,Sanger,medium,2840,38,59,103,accepted,True,Most prevalent globally; IBS-D association,0.010208579558239709,False,
MT330271.1,ST3,Homo sapiens,host_qualifier,Thailand,Unknown,stool,Sanger,medium,2840,38,59,97,accepted,True,Most prevalent globally; IBS-D association,0.008913517478635656,False,
MT330270.1,ST1,Homo sapiens,host_qualifier,Thailand,Unknown,stool,Sanger,medium,2840,59,108,241,accepted,True,Most prevalent globally; IBS association,0.0029673629213057768,False,
MT330269.1,ST3,Homo sapiens,host_qualifier,Thailand,Unknown,stool,Sanger,low,2840,38,59,88,accepted,True,Most prevalent globally; IBS-D association,0.01022162329170434,False,
MT330268.1,ST3,Homo sapiens,host_qualifier,Thailand,Unknown,stool,Sanger,medium,2840,38,59,92,accepted,True,Most prevalent globally; IBS-D association,0.00892488219735371,False,
MT330267.1,ST1,Homo sapiens,host_qualifier,Thailand,Unknown,stool,Sanger,medium,2840,59,108,246,accepted,True,Most prevalent globally; IBS association,0.00396302110995395,False,
MT330266.1,ST3,Homo sapiens,host_qualifier,Thailand,Unknown,stool,Sanger,low,2840,38,59,102,accepted,True,Most prevalent globally; IBS-D association,0.01147981596200666,False,
MT330265.1,ST3,Homo sapiens,host_qualifier,Thailand,Unknown,stool,Sanger,low,2840,38,59,104,accepted,True,Most prevalent globally; IBS-D association,0.012733752400813429,False,
MT330264.1,ST3,Homo sapiens,host_qualifier,Thailand,Unknown,stool,Sanger,low,2840,38,59,98,accepted,True,Most prevalent globally; IBS-D association,0.011465191422679238,False,
MT330263.1,ST1,Homo sapiens,host_qualifier,Thailand,Unknown,stool,Sanger,medium,2840,59,108,237,accepted,True,Most prevalent globally; IBS association,0.005940625118582997,False,
MT330262.1,ST3,Homo sapiens,host_qualifier,Thailand,Unknown,stool,Sanger,medium,2840,38,59,93,accepted,True,Most prevalent globally; IBS-D association,0.01022162329170434,False,
MT330261.1,ST3,Homo sapiens,host_qualifier,Thailand,Unknown,stool,Sanger,medium,2840,38,59,95,accepted,True,Most prevalent globally; IBS-D association,0.011494477858670115,False,
MT330260.1,ST1,Homo sapiens,host_qualifier,Thailand,Unknown,stool,Sanger,medium,2840,59,108,241,accepted,True,Most prevalent globally; IBS association,0.0019769368942424404,False,
MT330259.1,ST1,Homo sapiens,host_qualifier,Thailand,Unknown,stool,Sanger,medium,2840,59,108,241,accepted,True,Most prevalent globally; IBS association,-0.0,False,
MT330258.1,ST3,Homo sapiens,host_qualifier,Thailand,Unknown,stool,Sanger,low,2840,38,59,100,accepted,True,Most prevalent globally; IBS-D association,0.010195569072872388,False,
MT305811.1,ST10,Tibetan antelopes,Unknown,Unknown,Unknown,Tibetan antelopes,Sanger,low,2840,31,44,59,accepted,True,Artiodactyls; rare human reports; now split ST42-44,0.021506849982499732,False,
MK375243.1,ST12,Sus scrofa,Unknown,China: Yunnan,Unknown,feces of farmed pigs,Unknown,low,2840,46,79,138,accepted,True,Non-human primates; occasional in humans,0.007658011651467678,False,
MK375242.1,ST12,Sus scrofa,Unknown,China: Yunnan,Unknown,feces of farmed pigs,Unknown,low,2840,46,79,150,accepted,True,Non-human primates; occasional in humans,0.005736165628692634,False,
MK375241.1,ST12,Sus scrofa,Unknown,China: Yunnan,Unknown,feces of farmed pigs,Unknown,low,2840,46,79,156,accepted,True,Non-human primates; occasional in humans,0.0038192316777844936,False,
MK375240.1,ST12,Sus scrofa,Unknown,China: Yunnan,Unknown,feces of farmed pigs,Unknown,low,2840,46,79,157,accepted,True,Non-human primates; occasional in humans,0.004781654704924209,False,
MK375239.1,ST1,Sus scrofa,Unknown,China: Yunnan,Unknown,feces of farmed pigs,Unknown,medium,2840,59,108,241,accepted,True,Most prevalent globally; IBS association,0.001974984683070493,False,
MK375238.1,ST12,Sus scrofa,Unknown,China: Yunnan,Unknown,feces of farmed pigs,Unknown,low,2840,46,79,150,accepted,True,Non-human primates; occasional in humans,0.007658011651467678,False,
MK375237.1,ST12,Sus scrofa,Unknown,China: Yunnan,Unknown,feces of farmed pigs,Unknown,low,2840,46,79,161,accepted,True,Non-human primates; occasional in humans,0.011527604457493977,False,
MK375236.1,ST12,Sus scrofa,Unknown,China: Yunnan,Unknown,feces of farmed pigs,Unknown,low,2840,46,79,153,accepted,True,Non-human primates; occasional in humans,0.007665349382140014,False,
MK375235.1,ST12,Sus scrofa,Unknown,China: Yunnan,Unknown,feces of farmed pigs,Unknown,low,2840,46,79,156,accepted,True,Non-human primates; occasional in humans,0.004781654704924209,False,
MK375234.1,ST12,Sus scrofa,Unknown,China: Yunnan,Unknown,feces of farmed pigs,Unknown,low,2840,46,79,156,accepted,True,Non-human primates; occasional in humans,0.0028625988950256405,False,
MK375233.1,ST1,Sus scrofa,Unknown,China: Yunnan,Unknown,feces of farmed pigs,Unknown,high,2840,59,108,241,accepted,True,Most prevalent globally; IBS association,-0.0,False,
MK375232.1,ST12,Sus scrofa,Unknown,China: Yunnan,Unknown,feces of farmed pigs,Unknown,low,2840,46,79,156,accepted,True,Non-human primates; occasional in humans,0.0019071847530841865,False,
MK375231.1,ST1,Sus scrofa,Unknown,China: Yunnan,Unknown,feces of farmed pigs,Unknown,medium,2840,59,108,248,accepted,True,Most prevalent globally; IBS association,0.013935371040076867,False,
MK375230.1,ST1,Sus scrofa,Unknown,China: Yunnan,Unknown,feces of farmed pigs,Unknown,high,2840,59,108,241,accepted,True,Most prevalent globally; IBS association,0.0009868422476399764,False,
MK375229.1,ST12,Sus scrofa,Unknown,China: Yunnan,Unknown,feces of farmed pigs,Unknown,low,2840,46,79,156,accepted,True,Non-human primates; occasional in humans,0.004777086214109867,False,
MK375228.1,ST12,Sus scrofa,Unknown,China: Yunnan,Unknown,feces of farmed pigs,Unknown,low,2840,46,79,153,accepted,True,Non-human primates; occasional in humans,0.004777086214109867,False,
MK375227.1,ST12,Sus scrofa,Unknown,China: Yunnan,Unknown,feces of farmed pigs,Unknown,low,2840,46,79,158,accepted,True,Non-human primates; occasional in humans,0.004777086214109867,False,
MK375226.1,ST3,Sus scrofa,Unknown,China: Yunnan,Unknown,feces of farmed pigs,Unknown,medium,2840,38,59,93,accepted,True,Most prevalent globally; IBS-D association,0.010195569072872388,False,
MK375225.1,ST3,Sus scrofa,Unknown,China: Yunnan,Unknown,feces of farmed pigs,Unknown,low,2840,38,59,93,accepted,True,Most prevalent globally; IBS-D association,0.003826538912921633,False,
MK375224.1,ST3,Sus scrofa,Unknown,China: Yunnan,Unknown,feces of farmed pigs,Unknown,medium,2840,38,59,93,accepted,True,Most prevalent globally; IBS-D association,0.012798945415640237,False,
MK375223.1,ST12,Sus scrofa,Unknown,China: Yunnan,Unknown,feces of farmed pigs,Unknown,low,2840,46,79,156,accepted,True,Non-human primates; occasional in humans,0.00575818567427573,False,
MK375222.1,ST12,Sus scrofa,Unknown,China: Yunnan,Unknown,feces of farmed pigs,Unknown,low,2840,46,79,156,accepted,True,Non-human primates; occasional in humans,0.003833874163200362,False,
MK375220.1,ST12,Sus scrofa,Unknown,China: Yunnan,Unknown,feces of farmed pigs,Unknown,low,2840,46,79,156,accepted,True,Non-human primates; occasional in humans,-0.0,False,
MK375219.1,ST12,Sus scrofa,Unknown,China: Yunnan,Unknown,feces of farmed pigs,Unknown,low,2840,46,79,150,accepted,True,Non-human primates; occasional in humans,0.00862905012507741,False,
MK375218.1,ST12,Sus scrofa,Unknown,China: Yunnan,Unknown,feces of farmed pigs,Unknown,low,2840,46,79,139,accepted,True,Non-human primates; occasional in humans,0.0067028853424526864,False,
MN264521.1,ST10,Felis catus domesticus,Unknown,Iran,Jul-2017,feces,Sanger,low,2840,31,44,61,accepted,True,Artiodactyls; rare human reports; now split ST42-44,0.007308218606008539,False,
MN264520.1,ST4,Felis catus domesticus,Unknown,Iran,Jul-2017,feces,Sanger,low,2840,35,52,74,accepted,True,Europe-dominant; possible immunoprotective role,0.013761854001147406,False,
MN264517.1,ST10,Canis lupus familiaris,Unknown,Iran,Jul-2017,feces,Sanger,low,2840,31,44,61,accepted,True,Artiodactyls; rare human reports; now split ST42-44,0.006390787298950489,False,
MN264515.1,ST8,Canis lupus familiaris,Unknown,Iran,Jul-2017,feces,Sanger,low,2840,34,51,72,accepted,True,Non-human primates; rare in humans,0.010067265249105496,False,
MN264514.1,ST4,Canis lupus familiaris,Unknown,Iran,Jul-2017,feces,Sanger,medium,2840,35,52,75,accepted,True,Europe-dominant; possible immunoprotective role,0.016605844407910138,False,
