accession,length,host,definition,note,isolation_source,host_raw,ref_titles,record_categories,record_evidence,study_categories,study_evidence,subtype,st_source
MG905498.1,277,Gallus gallus,"Blastocystis sp. isolate WIC93 small subunit ribosomal RNA gene, partial sequence",subtype: ST6,,Gallus gallus,Prevalence and subtype distribution of Blastocystis sp. isolates from poultry in Lebanon and evidence of zoonotic potential; Direct Submission,,,,,ST6,barcode_mapping
MG905497.1,277,Gallus gallus,"Blastocystis sp. isolate WIC91 small subunit ribosomal RNA gene, partial sequence",subtype: ST6,,Gallus gallus,Prevalence and subtype distribution of Blastocystis sp. isolates from poultry in Lebanon and evidence of zoonotic potential; Direct Submission,,,,,ST6,barcode_mapping
MG905496.1,277,Gallus gallus,"Blastocystis sp. isolate WIC90 small subunit ribosomal RNA gene, partial sequence",subtype: ST6,,Gallus gallus,Prevalence and subtype distribution of Blastocystis sp. isolates from poultry in Lebanon and evidence of zoonotic potential; Direct Submission,,,,,ST6,barcode_mapping
MG905495.1,299,Gallus gallus,"Blastocystis sp. isolate WIC89 small subunit ribosomal RNA gene, partial sequence",subtype: ST7,,Gallus gallus,Prevalence and subtype distribution of Blastocystis sp. isolates from poultry in Lebanon and evidence of zoonotic potential; Direct Submission,,,,,ST7,barcode_mapping
MG905494.1,277,Gallus gallus,"Blastocystis sp. isolate WIC86 small subunit ribosomal RNA gene, partial sequence",subtype: ST6,,Gallus gallus,Prevalence and subtype distribution of Blastocystis sp. isolates from poultry in Lebanon and evidence of zoonotic potential; Direct Submission,,,,,ST6,barcode_mapping
MG905493.1,277,Gallus gallus,"Blastocystis sp. isolate WIC85 small subunit ribosomal RNA gene, partial sequence",subtype: ST6,,Gallus gallus,Prevalence and subtype distribution of Blastocystis sp. isolates from poultry in Lebanon and evidence of zoonotic potential; Direct Submission,,,,,ST6,barcode_mapping
MG905492.1,277,Gallus gallus,"Blastocystis sp. isolate WIC83 small subunit ribosomal RNA gene, partial sequence",subtype: ST6,,Gallus gallus,Prevalence and subtype distribution of Blastocystis sp. isolates from poultry in Lebanon and evidence of zoonotic potential; Direct Submission,,,,,ST6,barcode_mapping
MG905491.1,277,Gallus gallus,"Blastocystis sp. isolate WIC80 small subunit ribosomal RNA gene, partial sequence",subtype: ST6,,Gallus gallus,Prevalence and subtype distribution of Blastocystis sp. isolates from poultry in Lebanon and evidence of zoonotic potential; Direct Submission,,,,,ST6,barcode_mapping
MG905490.1,277,Gallus gallus,"Blastocystis sp. isolate WIC77 small subunit ribosomal RNA gene, partial sequence",subtype: ST6,,Gallus gallus,Prevalence and subtype distribution of Blastocystis sp. isolates from poultry in Lebanon and evidence of zoonotic potential; Direct Submission,,,,,ST6,barcode_mapping
MG905489.1,277,Gallus gallus,"Blastocystis sp. isolate WIC72 small subunit ribosomal RNA gene, partial sequence",subtype: ST6,,Gallus gallus,Prevalence and subtype distribution of Blastocystis sp. isolates from poultry in Lebanon and evidence of zoonotic potential; Direct Submission,,,,,ST6,barcode_mapping
MG905488.1,277,Gallus gallus,"Blastocystis sp. isolate WIC71 small subunit ribosomal RNA gene, partial sequence",subtype: ST6,,Gallus gallus,Prevalence and subtype distribution of Blastocystis sp. isolates from poultry in Lebanon and evidence of zoonotic potential; Direct Submission,,,,,ST6,barcode_mapping
MG905487.1,277,Gallus gallus,"Blastocystis sp. isolate WIC67 small subunit ribosomal RNA gene, partial sequence",subtype: ST6,,Gallus gallus,Prevalence and subtype distribution of Blastocystis sp. isolates from poultry in Lebanon and evidence of zoonotic potential; Direct Submission,,,,,ST6,barcode_mapping
MG905486.1,277,Gallus gallus,"Blastocystis sp. isolate WIC60 small subunit ribosomal RNA gene, partial sequence",subtype: ST6,,Gallus gallus,Prevalence and subtype distribution of Blastocystis sp. isolates from poultry in Lebanon and evidence of zoonotic potential; Direct Submission,,,,,ST6,barcode_mapping
MG905485.1,277,Gallus gallus,"Blastocystis sp. isolate WIC58 small subunit ribosomal RNA gene, partial sequence",subtype: ST6,,Gallus gallus,Prevalence and subtype distribution of Blastocystis sp. isolates from poultry in Lebanon and evidence of zoonotic potential; Direct Submission,,,,,ST6,barcode_mapping
MG905484.1,277,Gallus gallus,"Blastocystis sp. isolate WIC56 small subunit ribosomal RNA gene, partial sequence",subtype: ST6,,Gallus gallus,Prevalence and subtype distribution of Blastocystis sp. isolates from poultry in Lebanon and evidence of zoonotic potential; Direct Submission,,,,,ST6,barcode_mapping
MG905483.1,277,Gallus gallus,"Blastocystis sp. isolate WIC54 small subunit ribosomal RNA gene, partial sequence",subtype: ST6,,Gallus gallus,Prevalence and subtype distribution of Blastocystis sp. isolates from poultry in Lebanon and evidence of zoonotic potential; Direct Submission,,,,,ST6,barcode_mapping
MG905482.1,299,Gallus gallus,"Blastocystis sp. isolate WIC52 small subunit ribosomal RNA gene, partial sequence",subtype: ST7,,Gallus gallus,Prevalence and subtype distribution of Blastocystis sp. isolates from poultry in Lebanon and evidence of zoonotic potential; Direct Submission,,,,,ST7,barcode_mapping
MG905481.1,277,Gallus gallus,"Blastocystis sp. isolate WIC48 small subunit ribosomal RNA gene, partial sequence",subtype: ST6,,Gallus gallus,Prevalence and subtype distribution of Blastocystis sp. isolates from poultry in Lebanon and evidence of zoonotic potential; Direct Submission,,,,,ST6,barcode_mapping
MG905480.1,277,Gallus gallus,"Blastocystis sp. isolate WIC46 small subunit ribosomal RNA gene, partial sequence",subtype: ST6,,Gallus gallus,Prevalence and subtype distribution of Blastocystis sp. isolates from poultry in Lebanon and evidence of zoonotic potential; Direct Submission,,,,,ST6,barcode_mapping
MG905479.1,277,Gallus gallus,"Blastocystis sp. isolate WIC45 small subunit ribosomal RNA gene, partial sequence",subtype: ST6,,Gallus gallus,Prevalence and subtype distribution of Blastocystis sp. isolates from poultry in Lebanon and evidence of zoonotic potential; Direct Submission,,,,,ST6,barcode_mapping
MG905478.1,277,Gallus gallus,"Blastocystis sp. isolate WIC42 small subunit ribosomal RNA gene, partial sequence",subtype: ST6,,Gallus gallus,Prevalence and subtype distribution of Blastocystis sp. isolates from poultry in Lebanon and evidence of zoonotic potential; Direct Submission,,,,,ST6,barcode_mapping
MG905477.1,277,Gallus gallus,"Blastocystis sp. isolate WIC41 small subunit ribosomal RNA gene, partial sequence",subtype: ST6,,Gallus gallus,Prevalence and subtype distribution of Blastocystis sp. isolates from poultry in Lebanon and evidence of zoonotic potential; Direct Submission,,,,,ST6,barcode_mapping
MG905476.1,277,Gallus gallus,"Blastocystis sp. isolate WIC39 small subunit ribosomal RNA gene, partial sequence",subtype: ST6,,Gallus gallus,Prevalence and subtype distribution of Blastocystis sp. isolates from poultry in Lebanon and evidence of zoonotic potential; Direct Submission,,,,,ST6,barcode_mapping
MG905475.1,277,Gallus gallus,"Blastocystis sp. isolate WIC38 small subunit ribosomal RNA gene, partial sequence",subtype: ST6,,Gallus gallus,Prevalence and subtype distribution of Blastocystis sp. isolates from poultry in Lebanon and evidence of zoonotic potential; Direct Submission,,,,,ST6,barcode_mapping
MG905474.1,299,Gallus gallus,"Blastocystis sp. isolate WIC37 small subunit ribosomal RNA gene, partial sequence",subtype: ST7,,Gallus gallus,Prevalence and subtype distribution of Blastocystis sp. isolates from poultry in Lebanon and evidence of zoonotic potential; Direct Submission,,,,,ST7,barcode_mapping
MG905473.1,296,Gallus gallus,"Blastocystis sp. isolate WIC36 small subunit ribosomal RNA gene, partial sequence",subtype: ST7,,Gallus gallus,Prevalence and subtype distribution of Blastocystis sp. isolates from poultry in Lebanon and evidence of zoonotic potential; Direct Submission,,,,,ST7,barcode_mapping
MG905472.1,277,Gallus gallus,"Blastocystis sp. isolate WIC32 small subunit ribosomal RNA gene, partial sequence",subtype: ST6,,Gallus gallus,Prevalence and subtype distribution of Blastocystis sp. isolates from poultry in Lebanon and evidence of zoonotic potential; Direct Submission,,,,,ST6,barcode_mapping
MG905471.1,277,Gallus gallus,"Blastocystis sp. isolate WIC26 small subunit ribosomal RNA gene, partial sequence",subtype: ST6,,Gallus gallus,Prevalence and subtype distribution of Blastocystis sp. isolates from poultry in Lebanon and evidence of zoonotic potential; Direct Submission,,,,,ST6,barcode_mapping
MG905470.1,277,Gallus gallus,"Blastocystis sp. isolate WIC25 small subunit ribosomal RNA gene, partial sequence",subtype: ST6,,Gallus gallus,Prevalence and subtype distribution of Blastocystis sp. isolates from poultry in Lebanon and evidence of zoonotic potential; Direct Submission,,,,,ST6,barcode_mapping
MG905469.1,277,Gallus gallus,"Blastocystis sp. isolate WIC22 small subunit ribosomal RNA gene, partial sequence",subtype: ST6,,Gallus gallus,Prevalence and subtype distribution of Blastocystis sp. isolates from poultry in Lebanon and evidence of zoonotic potential; Direct Submission,,,,,ST6,barcode_mapping
MG905468.1,277,Gallus gallus,"Blastocystis sp. isolate WIC21 small subunit ribosomal RNA gene, partial sequence",subtype: ST6,,Gallus gallus,Prevalence and subtype distribution of Blastocystis sp. isolates from poultry in Lebanon and evidence of zoonotic potential; Direct Submission,,,,,ST6,barcode_mapping
MG905467.1,277,Gallus gallus,"Blastocystis sp. isolate WIC17 small subunit ribosomal RNA gene, partial sequence",subtype: ST6,,Gallus gallus,Prevalence and subtype distribution of Blastocystis sp. isolates from poultry in Lebanon and evidence of zoonotic potential; Direct Submission,,,,,ST6,barcode_mapping
MG905466.1,277,Gallus gallus,"Blastocystis sp. isolate WIC14 small subunit ribosomal RNA gene, partial sequence",subtype: ST6,,Gallus gallus,Prevalence and subtype distribution of Blastocystis sp. isolates from poultry in Lebanon and evidence of zoonotic potential; Direct Submission,,,,,ST6,barcode_mapping
MG905465.1,277,Gallus gallus,"Blastocystis sp. isolate WIC11 small subunit ribosomal RNA gene, partial sequence",subtype: ST6,,Gallus gallus,Prevalence and subtype distribution of Blastocystis sp. isolates from poultry in Lebanon and evidence of zoonotic potential; Direct Submission,,,,,ST6,barcode_mapping
MG905464.1,277,Gallus gallus,"Blastocystis sp. isolate WIC10 small subunit ribosomal RNA gene, partial sequence",subtype: ST6,,Gallus gallus,Prevalence and subtype distribution of Blastocystis sp. isolates from poultry in Lebanon and evidence of zoonotic potential; Direct Submission,,,,,ST6,barcode_mapping
MG905463.1,277,Gallus gallus,"Blastocystis sp. isolate WIC9 small subunit ribosomal RNA gene, partial sequence",subtype: ST6,,Gallus gallus,Prevalence and subtype distribution of Blastocystis sp. isolates from poultry in Lebanon and evidence of zoonotic potential; Direct Submission,,,,,ST6,barcode_mapping
MG905462.1,277,Gallus gallus,"Blastocystis sp. isolate WIC5 small subunit ribosomal RNA gene, partial sequence",subtype: ST6,,Gallus gallus,Prevalence and subtype distribution of Blastocystis sp. isolates from poultry in Lebanon and evidence of zoonotic potential; Direct Submission,,,,,ST6,barcode_mapping
MH580451.1,600,Homo sapiens,"Blastocystis sp. isolate IW small subunit ribosomal RNA gene, partial sequence",subtype: 3,,Homo sapiens,Direct Submission,,,,,ST3,barcode_mapping
MH580450.1,612,Homo sapiens,"Blastocystis sp. isolate MD small subunit ribosomal RNA gene, partial sequence",subtype: 4,,Homo sapiens,Direct Submission,,,,,ST4,barcode_mapping
LC388740.1,307,Bos taurus,"Blastocystis sp. BO17-152 gene for 18S ribosomal RNA, partial sequence",,feces,Bos taurus,"Prevalence and molecular subtyping of Blastocystis from dairy cattle in Kanagawa, Japan; Direct Submission",,,,,ST24,barcode_mapping
LC388739.1,307,Bos taurus,"Blastocystis sp. BO17-151 gene for 18S ribosomal RNA, partial sequence",,feces,Bos taurus,"Prevalence and molecular subtyping of Blastocystis from dairy cattle in Kanagawa, Japan; Direct Submission",,,,,ST24,barcode_mapping
LC388738.1,307,Bos taurus,"Blastocystis sp. BO17-143 gene for 18S ribosomal RNA, partial sequence",,feces,Bos taurus,"Prevalence and molecular subtyping of Blastocystis from dairy cattle in Kanagawa, Japan; Direct Submission",,,,,ST25,barcode_mapping
LC388737.1,307,Bos taurus,"Blastocystis sp. BO17-140 gene for 18S ribosomal RNA, partial sequence",,feces,Bos taurus,"Prevalence and molecular subtyping of Blastocystis from dairy cattle in Kanagawa, Japan; Direct Submission",,,,,ST25,barcode_mapping
LC388736.1,307,Bos taurus,"Blastocystis sp. BO17-136 gene for 18S ribosomal RNA, partial sequence",,feces,Bos taurus,"Prevalence and molecular subtyping of Blastocystis from dairy cattle in Kanagawa, Japan; Direct Submission",,,,,ST25,barcode_mapping
LC388735.1,307,Bos taurus,"Blastocystis sp. BO17-135 gene for 18S ribosomal RNA, partial sequence",,feces,Bos taurus,"Prevalence and molecular subtyping of Blastocystis from dairy cattle in Kanagawa, Japan; Direct Submission",,,,,ST25,barcode_mapping
LC388734.1,307,Bos taurus,"Blastocystis sp. BO17-131 gene for 18S ribosomal RNA, partial sequence",,feces,Bos taurus,"Prevalence and molecular subtyping of Blastocystis from dairy cattle in Kanagawa, Japan; Direct Submission",,,,,ST24,barcode_mapping
LC388733.1,307,Bos taurus,"Blastocystis sp. BO17-127 gene for 18S ribosomal RNA, partial sequence",,feces,Bos taurus,"Prevalence and molecular subtyping of Blastocystis from dairy cattle in Kanagawa, Japan; Direct Submission",,,,,ST24,barcode_mapping
LC388732.1,307,Bos taurus,"Blastocystis sp. BO17-122 gene for 18S ribosomal RNA, partial sequence",,feces,Bos taurus,"Prevalence and molecular subtyping of Blastocystis from dairy cattle in Kanagawa, Japan; Direct Submission",,,,,ST25,barcode_mapping
LC388731.1,307,Bos taurus,"Blastocystis sp. BO17-121 gene for 18S ribosomal RNA, partial sequence",,feces,Bos taurus,"Prevalence and molecular subtyping of Blastocystis from dairy cattle in Kanagawa, Japan; Direct Submission",,,,,ST25,barcode_mapping
LC388730.1,307,Bos taurus,"Blastocystis sp. BO17-118 gene for 18S ribosomal RNA, partial sequence",,feces,Bos taurus,"Prevalence and molecular subtyping of Blastocystis from dairy cattle in Kanagawa, Japan; Direct Submission",,,,,ST25,barcode_mapping
LC388729.1,307,Bos taurus,"Blastocystis sp. BO17-079 gene for 18S ribosomal RNA, partial sequence",,feces,Bos taurus,"Prevalence and molecular subtyping of Blastocystis from dairy cattle in Kanagawa, Japan; Direct Submission",,,,,ST14,barcode_mapping
LC388728.1,307,Bos taurus,"Blastocystis sp. BO17-078 gene for 18S ribosomal RNA, partial sequence",,feces,Bos taurus,"Prevalence and molecular subtyping of Blastocystis from dairy cattle in Kanagawa, Japan; Direct Submission",,,,,ST14,barcode_mapping
LC388727.1,307,Bos taurus,"Blastocystis sp. BO17-072 gene for 18S ribosomal RNA, partial sequence",,feces,Bos taurus,"Prevalence and molecular subtyping of Blastocystis from dairy cattle in Kanagawa, Japan; Direct Submission",,,,,ST14,barcode_mapping
LC388726.1,307,Bos taurus,"Blastocystis sp. BO17-071 gene for 18S ribosomal RNA, partial sequence",,feces,Bos taurus,"Prevalence and molecular subtyping of Blastocystis from dairy cattle in Kanagawa, Japan; Direct Submission",,,,,ST25,barcode_mapping
LC388725.1,307,Bos taurus,"Blastocystis sp. BO17-069 gene for 18S ribosomal RNA, partial sequence",,feces,Bos taurus,"Prevalence and molecular subtyping of Blastocystis from dairy cattle in Kanagawa, Japan; Direct Submission",,,,,ST25,barcode_mapping
LC388724.1,307,Bos taurus,"Blastocystis sp. BO17-058 gene for 18S ribosomal RNA, partial sequence",,feces,Bos taurus,"Prevalence and molecular subtyping of Blastocystis from dairy cattle in Kanagawa, Japan; Direct Submission",,,,,ST24,barcode_mapping
LC388723.1,307,Bos taurus,"Blastocystis sp. BO17-057 gene for 18S ribosomal RNA, partial sequence",,feces,Bos taurus,"Prevalence and molecular subtyping of Blastocystis from dairy cattle in Kanagawa, Japan; Direct Submission",,,,,ST25,barcode_mapping
LC388722.1,307,Bos taurus,"Blastocystis sp. BO17-055 gene for 18S ribosomal RNA, partial sequence",,feces,Bos taurus,"Prevalence and molecular subtyping of Blastocystis from dairy cattle in Kanagawa, Japan; Direct Submission",,,,,ST14,barcode_mapping
LC388721.1,307,Bos taurus,"Blastocystis sp. BO17-053 gene for 18S ribosomal RNA, partial sequence",,feces,Bos taurus,"Prevalence and molecular subtyping of Blastocystis from dairy cattle in Kanagawa, Japan; Direct Submission",,,,,ST14,barcode_mapping
LC388720.1,307,Bos taurus,"Blastocystis sp. BO17-049 gene for 18S ribosomal RNA, partial sequence",,feces,Bos taurus,"Prevalence and molecular subtyping of Blastocystis from dairy cattle in Kanagawa, Japan; Direct Submission",,,,,ST14,barcode_mapping
LC388719.1,307,Bos taurus,"Blastocystis sp. BO17-047 gene for 18S ribosomal RNA, partial sequence",,feces,Bos taurus,"Prevalence and molecular subtyping of Blastocystis from dairy cattle in Kanagawa, Japan; Direct Submission",,,,,ST25,barcode_mapping
LC388718.1,307,Bos taurus,"Blastocystis sp. BO17-045 gene for 18S ribosomal RNA, partial sequence",,feces,Bos taurus,"Prevalence and molecular subtyping of Blastocystis from dairy cattle in Kanagawa, Japan; Direct Submission",,,,,ST25,barcode_mapping
LC388717.1,307,Bos taurus,"Blastocystis sp. BO17-044 gene for 18S ribosomal RNA, partial sequence",,feces,Bos taurus,"Prevalence and molecular subtyping of Blastocystis from dairy cattle in Kanagawa, Japan; Direct Submission",,,,,ST14,barcode_mapping
LC388716.1,307,Bos taurus,"Blastocystis sp. BO17-042 gene for 18S ribosomal RNA, partial sequence",,feces,Bos taurus,"Prevalence and molecular subtyping of Blastocystis from dairy cattle in Kanagawa, Japan; Direct Submission",,,,,ST25,barcode_mapping
LC388715.1,307,Bos taurus,"Blastocystis sp. BO17-039 gene for 18S ribosomal RNA, partial sequence",,feces,Bos taurus,"Prevalence and molecular subtyping of Blastocystis from dairy cattle in Kanagawa, Japan; Direct Submission",,,,,ST24,barcode_mapping
LC388714.1,306,Bos taurus,"Blastocystis sp. BO17-034 gene for 18S ribosomal RNA, partial sequence",,feces,Bos taurus,"Prevalence and molecular subtyping of Blastocystis from dairy cattle in Kanagawa, Japan; Direct Submission",,,,,ST42,barcode_mapping
LC388713.1,307,Bos taurus,"Blastocystis sp. BO17-033 gene for 18S ribosomal RNA, partial sequence",,feces,Bos taurus,"Prevalence and molecular subtyping of Blastocystis from dairy cattle in Kanagawa, Japan; Direct Submission",,,,,ST24,barcode_mapping
LC388712.1,307,Bos taurus,"Blastocystis sp. BO17-032 gene for 18S ribosomal RNA, partial sequence",,feces,Bos taurus,"Prevalence and molecular subtyping of Blastocystis from dairy cattle in Kanagawa, Japan; Direct Submission",,,,,ST24,barcode_mapping
LC388711.1,307,Bos taurus,"Blastocystis sp. BO17-031 gene for 18S ribosomal RNA, partial sequence",,feces,Bos taurus,"Prevalence and molecular subtyping of Blastocystis from dairy cattle in Kanagawa, Japan; Direct Submission",,,,,ST24,barcode_mapping
LC388710.1,307,Bos taurus,"Blastocystis sp. BO17-030 gene for 18S ribosomal RNA, partial sequence",,feces,Bos taurus,"Prevalence and molecular subtyping of Blastocystis from dairy cattle in Kanagawa, Japan; Direct Submission",,,,,ST24,barcode_mapping
LC388709.1,307,Bos taurus,"Blastocystis sp. BO17-028 gene for 18S ribosomal RNA, partial sequence",,feces,Bos taurus,"Prevalence and molecular subtyping of Blastocystis from dairy cattle in Kanagawa, Japan; Direct Submission",,,,,ST24,barcode_mapping
LC388708.1,307,Bos taurus,"Blastocystis sp. BO17-027 gene for 18S ribosomal RNA, partial sequence",,feces,Bos taurus,"Prevalence and molecular subtyping of Blastocystis from dairy cattle in Kanagawa, Japan; Direct Submission",,,,,ST25,barcode_mapping
LC388707.1,307,Bos taurus,"Blastocystis sp. BO17-026 gene for 18S ribosomal RNA, partial sequence",,feces,Bos taurus,"Prevalence and molecular subtyping of Blastocystis from dairy cattle in Kanagawa, Japan; Direct Submission",,,,,ST25,barcode_mapping
LC388706.1,307,Bos taurus,"Blastocystis sp. BO17-025 gene for 18S ribosomal RNA, partial sequence",,feces,Bos taurus,"Prevalence and molecular subtyping of Blastocystis from dairy cattle in Kanagawa, Japan; Direct Submission",,,,,ST25,barcode_mapping
LC388705.1,307,Bos taurus,"Blastocystis sp. BO17-019 gene for 18S ribosomal RNA, partial sequence",,feces,Bos taurus,"Prevalence and molecular subtyping of Blastocystis from dairy cattle in Kanagawa, Japan; Direct Submission",,,,,ST24,barcode_mapping
LC388704.1,307,Bos taurus,"Blastocystis sp. BO17-016 gene for 18S ribosomal RNA, partial sequence",,feces,Bos taurus,"Prevalence and molecular subtyping of Blastocystis from dairy cattle in Kanagawa, Japan; Direct Submission",,,,,ST25,barcode_mapping
LC388703.1,307,Bos taurus,"Blastocystis sp. BO17-011 gene for 18S ribosomal RNA, partial sequence",,feces,Bos taurus,"Prevalence and molecular subtyping of Blastocystis from dairy cattle in Kanagawa, Japan; Direct Submission",,,,,ST24,barcode_mapping
LC388702.1,307,Bos taurus,"Blastocystis sp. BO17-010 gene for 18S ribosomal RNA, partial sequence",,feces,Bos taurus,"Prevalence and molecular subtyping of Blastocystis from dairy cattle in Kanagawa, Japan; Direct Submission",,,,,ST14,barcode_mapping
LC388701.1,307,Bos taurus,"Blastocystis sp. BO17-009 gene for 18S ribosomal RNA, partial sequence",,feces,Bos taurus,"Prevalence and molecular subtyping of Blastocystis from dairy cattle in Kanagawa, Japan; Direct Submission",,,,,ST14,barcode_mapping
LC388700.1,307,Bos taurus,"Blastocystis sp. BO17-008 gene for 18S ribosomal RNA, partial sequence",,feces,Bos taurus,"Prevalence and molecular subtyping of Blastocystis from dairy cattle in Kanagawa, Japan; Direct Submission",,,,,ST14,barcode_mapping
LC388699.1,307,Bos taurus,"Blastocystis sp. BO17-006 gene for 18S ribosomal RNA, partial sequence",,feces,Bos taurus,"Prevalence and molecular subtyping of Blastocystis from dairy cattle in Kanagawa, Japan; Direct Submission",,,,,ST14,barcode_mapping
LC388698.1,307,Bos taurus,"Blastocystis sp. BO17-005 gene for 18S ribosomal RNA, partial sequence",,feces,Bos taurus,"Prevalence and molecular subtyping of Blastocystis from dairy cattle in Kanagawa, Japan; Direct Submission",,,,,ST25,barcode_mapping
LC388697.1,307,Bos taurus,"Blastocystis sp. BO17-004 gene for 18S ribosomal RNA, partial sequence",,feces,Bos taurus,"Prevalence and molecular subtyping of Blastocystis from dairy cattle in Kanagawa, Japan; Direct Submission",,,,,ST25,barcode_mapping
LC388696.1,307,Bos taurus,"Blastocystis sp. BO17-003 gene for 18S ribosomal RNA, partial sequence",,feces,Bos taurus,"Prevalence and molecular subtyping of Blastocystis from dairy cattle in Kanagawa, Japan; Direct Submission",,,,,ST25,barcode_mapping
MH493737.1,566,Homo sapiens,"Blastocystis sp. isolate Br175 small subunit ribosomal RNA gene, partial sequence",Subtype 3 alleles 34+37,feces,Homo sapiens,"Intestinal parasites in Campo do Tenente (Curitiba, Parana, Brazil): characterization of Blastocystis sp.; Direct Submission",,,,,ST3,barcode_mapping
MH493736.1,509,Homo sapiens,"Blastocystis sp. isolate Br134 small subunit ribosomal RNA gene, partial sequence",Subtype 3 allele 36,feces,Homo sapiens,"Intestinal parasites in Campo do Tenente (Curitiba, Parana, Brazil): characterization of Blastocystis sp.; Direct Submission",,,,,ST3,barcode_mapping
MH493735.1,574,Homo sapiens,"Blastocystis sp. isolate Br154 small subunit ribosomal RNA gene, partial sequence",Subtype 3 allele 34,feces,Homo sapiens,"Intestinal parasites in Campo do Tenente (Curitiba, Parana, Brazil): characterization of Blastocystis sp.; Direct Submission",,,,,ST3,barcode_mapping
MH493734.1,578,Homo sapiens,"Blastocystis sp. isolate Br162 small subunit ribosomal RNA gene, partial sequence",Subtype 2 allele 15,feces,Homo sapiens,"Intestinal parasites in Campo do Tenente (Curitiba, Parana, Brazil): characterization of Blastocystis sp.; Direct Submission",,,,,ST2,barcode_mapping
MH493733.1,575,Homo sapiens,"Blastocystis sp. isolate Br151 small subunit ribosomal RNA gene, partial sequence",Subtype 2 allele 12,feces,Homo sapiens,"Intestinal parasites in Campo do Tenente (Curitiba, Parana, Brazil): characterization of Blastocystis sp.; Direct Submission",,,,,ST2,barcode_mapping
MH493732.1,571,Homo sapiens,"Blastocystis sp. isolate Br169 small subunit ribosomal RNA gene, partial sequence",Subtype 1 allele 4,feces,Homo sapiens,"Intestinal parasites in Campo do Tenente (Curitiba, Parana, Brazil): characterization of Blastocystis sp.; Direct Submission",,,,,ST1,barcode_mapping
MH493731.1,571,Homo sapiens,"Blastocystis sp. isolate Br158 small subunit ribosomal RNA gene, partial sequence",Subtype 1 allele 4,feces,Homo sapiens,"Intestinal parasites in Campo do Tenente (Curitiba, Parana, Brazil): characterization of Blastocystis sp.; Direct Submission",,,,,ST1,barcode_mapping
MH493730.1,571,Homo sapiens,"Blastocystis sp. isolate Br153 small subunit ribosomal RNA gene, partial sequence",Subtype 1 allele 4,feces,Homo sapiens,"Intestinal parasites in Campo do Tenente (Curitiba, Parana, Brazil): characterization of Blastocystis sp.; Direct Submission",,,,,ST1,barcode_mapping
MH493729.1,571,Homo sapiens,"Blastocystis sp. isolate Br170 small subunit ribosomal RNA gene, partial sequence",Subtype 1 allele 4,feces,Homo sapiens,"Intestinal parasites in Campo do Tenente (Curitiba, Parana, Brazil): characterization of Blastocystis sp.; Direct Submission",,,,,ST1,barcode_mapping
MH465074.1,465,Homo sapiens,"Blastocystis hominis strain 1101 small subunit ribosomal RNA gene, partial sequence",subtype: ST4,fecal sample,Homo sapiens,Analysis of PCR as tool for Blastocystis hominis genotyping; Direct Submission,,,,,ST4,barcode_mapping
MH465073.1,393,Homo sapiens,"Blastocystis hominis strain 1130 small subunit ribosomal RNA gene, partial sequence",subtype: ST1,fecal sample,Homo sapiens,Analysis of PCR as tool for Blastocystis hominis genotyping; Direct Submission,,,,,,
MH465072.1,406,Homo sapiens,"Blastocystis hominis strain 1093 small subunit ribosomal RNA gene, partial sequence",subtype: ST4,fecal sample,Homo sapiens,Analysis of PCR as tool for Blastocystis hominis genotyping; Direct Submission,,,,,ST4,barcode_mapping
MH465071.1,398,Homo sapiens,"Blastocystis hominis strain 1129 small subunit ribosomal RNA gene, partial sequence",subtype: ST4,fecal sample,Homo sapiens,Analysis of PCR as tool for Blastocystis hominis genotyping; Direct Submission,,,,,,
MH465070.1,403,Homo sapiens,"Blastocystis hominis strain 1089 small subunit ribosomal RNA gene, partial sequence",subtype: ST4,fecal sample,Homo sapiens,Analysis of PCR as tool for Blastocystis hominis genotyping; Direct Submission,,,,,ST4,barcode_mapping
MH465069.1,429,Homo sapiens,"Blastocystis hominis strain 1048 small subunit ribosomal RNA gene, partial sequence",subtype: ST3,fecal sample,Homo sapiens,Analysis of PCR as tool for Blastocystis hominis genotyping; Direct Submission,,,,,ST3,barcode_mapping
MH465068.1,446,Homo sapiens,"Blastocystis hominis strain 1029 small subunit ribosomal RNA gene, partial sequence",subtype: ST1,fecal sample,Homo sapiens,Analysis of PCR as tool for Blastocystis hominis genotyping; Direct Submission,,,,,ST1,barcode_mapping
MH465067.1,392,Homo sapiens,"Blastocystis hominis strain 1047 small subunit ribosomal RNA gene, partial sequence",subtype: ST2,fecal sample,Homo sapiens,Analysis of PCR as tool for Blastocystis hominis genotyping; Direct Submission,,,,,ST2,barcode_mapping
MH465066.1,485,Homo sapiens,"Blastocystis hominis strain 1026 small subunit ribosomal RNA gene, partial sequence",subtype: ST2,fecal sample,Homo sapiens,Analysis of PCR as tool for Blastocystis hominis genotyping; Direct Submission,,,,,ST3,barcode_mapping
MH465065.1,409,Homo sapiens,"Blastocystis hominis strain 1023 small subunit ribosomal RNA gene, partial sequence",subtype: ST2,fecal sample,Homo sapiens,Analysis of PCR as tool for Blastocystis hominis genotyping; Direct Submission,,,,,ST2,barcode_mapping
MH465064.1,404,Homo sapiens,"Blastocystis hominis strain Brb small subunit ribosomal RNA gene, partial sequence",subtype: ST3,fecal sample,Homo sapiens,Analysis of PCR as tool for Blastocystis hominis genotyping; Direct Submission,,,,,,
